File Name;Lightning;Image Source;Number of TS
'42.jpg';'Day Light';'Google Street View';2
'43.jpg';'Day Light';'Google Street View';1
'44.jpg';'Day Light';'Google Street View';1
'45.jpg';'Day Light';'Google Street View';1
'46.jpg';'Day Light';'Google Street View';1
'47.jpg';'Day Light';'Google Street View';1
'48.jpg';'Day Light';'Google Street View';1
'49.jpg';'Day Light';'Google Street View';1
'5.jpg';'Day Light';'Google Street View';2
'50.jpg';'Day Light';'Google Street View';1
'51.jpg';'Day Light';'Google Street View';2
'52.jpg';'Day Light';'Google Street View';2
'53.jpg';'Day Light';'Google Street View';2
'54.jpg';'Day Light';'Google Street View';1
'55.jpg';'Day Light';'Google Street View';1
'56.jpg';'Day Light';'Google Street View';1
'57.jpg';'Day Light';'Google Street View';1
'58.jpg';'Day Light';'Google Street View';1
'59.jpg';'Day Light';'Google Street View';1
'6.jpg';'Day Light';'Google Street View';2
'60.jpg';'Day Light';'Google Street View';1
'61.jpg';'Day Light';'Google Street View';1
'62.jpg';'Day Light';'Google Street View';1
'63.jpg';'Day Light';'Google Street View';1
'64.jpg';'Day Light';'Google Street View';1
'65.jpg';'Day Light';'Google Street View';1
'66.jpg';'Day Light';'Google Street View';1
'67.jpg';'Day Light';'Google Street View';1
'68.jpg';'Day Light';'Google Street View';1
'69.jpg';'Day Light';'Google Street View';1
'7.jpg';'Day Light';'Google Street View';0
'70.jpg';'Day Light';'Google Street View';1
'71.jpg';'Day Light';'Google Street View';1
'72.jpg';'Day Light';'Google Street View';2
'73.jpg';'Day Light';'Google Street View';4
'74.jpg';'Day Light';'Google Street View';1
'75.jpg';'Day Light';'Google Street View';3
'76.jpg';'Day Light';'Google Street View';3
'77.jpg';'Day Light';'Google Street View';1
'78.jpg';'Day Light';'Google Street View';1
'79.jpg';'Day Light';'Google Street View';1
'8.jpg';'Day Light';'Google Street View';1
'80.jpg';'Day Light';'Google Street View';1
'81.jpg';'Day Light';'Google Street View';1
'82.jpg';'Day Light';'Google Street View';1
'83.jpg';'Day Light';'Google Street View';2
'84.jpg';'Day Light';'Google Street View';1
'85.jpg';'Day Light';'Google Street View';1
'86.jpg';'Day Light';'Google Street View';1
'87.jpg';'Day Light';'Google Street View';1
'88.jpg';'Day Light';'Google Street View';5
'89.jpg';'Day Light';'Google Street View';3
'9.jpg';'Day Light';'Google Street View';1
'90.jpg';'Day Light';'Google Street View';2
'91.jpg';'Day Light';'Google Street View';2
'92.jpg';'Day Light';'Google Street View';2
'93.jpg';'Day Light';'Google Street View';2
'94.jpg';'Day Light';'Google Street View';1
'95.jpg';'Day Light';'Google Street View';1
'96.jpg';'Day Light';'Google Street View';1
'97.jpg';'Day Light';'Google Street View';1
'98.jpg';'Day Light';'Google Street View';1
'99.jpg';'Day Light';'Google Street View';1
'DSC-0101.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0102.jpg';'Day Light';'Mobile Phone Camera';4
'DSC-0106.jpg';'Day Light';'Mobile Phone Camera';5
'DSC-0107.jpg';'Day Light';'Mobile Phone Camera';3
'DSC-0108.jpg';'Day Light';'Mobile Phone Camera';3
'DSC-0109.jpg';'Day Light';'Mobile Phone Camera';4
'DSC-0119.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0120.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0122.jpg';'Day Light';'Mobile Phone Camera';2
'DSC-0123.jpg';'Day Light';'Mobile Phone Camera';2
'DSC-0124.jpg';'Day Light';'Mobile Phone Camera';2
'DSC-0125.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0126.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0129.jpg';'Day Light';'Mobile Phone Camera';3
'DSC-0130.jpg';'Day Light';'Mobile Phone Camera';3
'DSC-0134.jpg';'Day Light';'Mobile Phone Camera';3
'DSC-0135.jpg';'Day Light';'Mobile Phone Camera';2
'DSC-0137.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0138.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0139.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0140.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0142.jpg';'Day Light';'Mobile Phone Camera';4
'DSC-0143.jpg';'Day Light';'Mobile Phone Camera';3
'DSC-0144.jpg';'Day Light';'Mobile Phone Camera';4
'DSC-0145.jpg';'Day Light';'Mobile Phone Camera';4
'DSC-0146.jpg';'Day Light';'Mobile Phone Camera';3
'DSC-0147.jpg';'Day Light';'Mobile Phone Camera';4
'DSC-0148.jpg';'Day Light';'Mobile Phone Camera';4
'DSC-0150.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0151.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0152.jpg';'Day Light';'Mobile Phone Camera';2
'DSC-0153.jpg';'Day Light';'Mobile Phone Camera';2
'DSC-0325.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0326.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0328.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0329.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0330.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0331.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0332.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0333.jpg';'Day Light';'Mobile Phone Camera';1
'DSC-0334.jpg';'Day Light';'Mobile Phone Camera';0
'P1830919.jpg';'Day Light';'Panasonic Camera';1
'P1830920.jpg';'Day Light';'Panasonic Camera';1
'P1830921.jpg';'Day Light';'Panasonic Camera';1
'P1830922.jpg';'Day Light';'Panasonic Camera';0
'P1830923.jpg';'Day Light';'Panasonic Camera';1
'P1830924.jpg';'Day Light';'Panasonic Camera';4
'P1830925.jpg';'Day Light';'Panasonic Camera';3
'P1830926.jpg';'Day Light';'Panasonic Camera';4
'P1830927.jpg';'Day Light';'Panasonic Camera';4
'P1830928.jpg';'Day Light';'Panasonic Camera';1
'P1830929.jpg';'Day Light';'Panasonic Camera';1
'P1830930.jpg';'Day Light';'Panasonic Camera';1
'P1830931.jpg';'Day Light';'Panasonic Camera';2
'P1830932.jpg';'Day Light';'Panasonic Camera';2
'P1830933.jpg';'Day Light';'Panasonic Camera';2
'P1830934.jpg';'Day Light';'Panasonic Camera';2
'P1830935.jpg';'Day Light';'Panasonic Camera';2
'P1830936.jpg';'Day Light';'Panasonic Camera';2
'P1830937.jpg';'Day Light';'Panasonic Camera';1
'P1830938.jpg';'Day Light';'Panasonic Camera';1
'P1830939.jpg';'Day Light';'Panasonic Camera';1
'P1830940.jpg';'Day Light';'Panasonic Camera';4
'P1830941.jpg';'Day Light';'Panasonic Camera';1
'P1830942.jpg';'Day Light';'Panasonic Camera';3
'P1830943.jpg';'Day Light';'Panasonic Camera';2
'P1830944.jpg';'Day Light';'Panasonic Camera';2
'P1830945.jpg';'Day Light';'Panasonic Camera';1
'P1830946.jpg';'Day Light';'Panasonic Camera';1
'P1830947.jpg';'Day Light';'Panasonic Camera';2
'P1830948.jpg';'Day Light';'Panasonic Camera';3
'P1830949.jpg';'Day Light';'Panasonic Camera';3
'P1830950.jpg';'Day Light';'Panasonic Camera';3
'P1830951.jpg';'Day Light';'Panasonic Camera';1
'P1830952.jpg';'Day Light';'Panasonic Camera';3
'P1830953.jpg';'Day Light';'Panasonic Camera';3
'P1830954.jpg';'Day Light';'Panasonic Camera';3
'P1830955.jpg';'Day Light';'Panasonic Camera';5
'P1830956.jpg';'Day Light';'Panasonic Camera';1
'P1830957.jpg';'Day Light';'Panasonic Camera';2
'P1830958.jpg';'Day Light';'Panasonic Camera';1
'P1830959.jpg';'Day Light';'Panasonic Camera';1
'P1830960.jpg';'Day Light';'Panasonic Camera';2
'P1830961.jpg';'Day Light';'Panasonic Camera';2
'P1830962.jpg';'Day Light';'Panasonic Camera';1
'P1830963.jpg';'Day Light';'Panasonic Camera';2
'P1830964.jpg';'Day Light';'Panasonic Camera';1
'P1830965.jpg';'Day Light';'Panasonic Camera';2
'P1830966.jpg';'Day Light';'Panasonic Camera';3
'P1830967.jpg';'Day Light';'Panasonic Camera';3
'P1830968.jpg';'Day Light';'Panasonic Camera';1
'P1830969.jpg';'Day Light';'Panasonic Camera';4
'P1830970.jpg';'Day Light';'Panasonic Camera';5
'P1830971.jpg';'Day Light';'Panasonic Camera';1
'P1830972.jpg';'Day Light';'Panasonic Camera';1
'P1830973.jpg';'Day Light';'Panasonic Camera';1
'P1830974.jpg';'Day Light';'Panasonic Camera';2
'P1830975.jpg';'Day Light';'Panasonic Camera';4
'P1830976.jpg';'Day Light';'Panasonic Camera';2
'P1830977.jpg';'Day Light';'Panasonic Camera';1
'P1830978.jpg';'Day Light';'Panasonic Camera';1
'P1830979.jpg';'Day Light';'Panasonic Camera';2
'P1830980.jpg';'Day Light';'Panasonic Camera';2
'P1830981.jpg';'Day Light';'Panasonic Camera';2
'P1830982.jpg';'Day Light';'Panasonic Camera';3
'P1830983.jpg';'Day Light';'Panasonic Camera';2
'P1830984.jpg';'Day Light';'Panasonic Camera';1
'P1830985.jpg';'Day Light';'Panasonic Camera';1
'P1830986.jpg';'Day Light';'Panasonic Camera';1
'P1830987.jpg';'Day Light';'Panasonic Camera';1
'P1830988.jpg';'Day Light';'Panasonic Camera';1
'P1830989.jpg';'Day Light';'Panasonic Camera';1
'P1830990.jpg';'Day Light';'Panasonic Camera';1
'P1830991.jpg';'Day Light';'Panasonic Camera';1
'P1830992.jpg';'Day Light';'Panasonic Camera';1
'P1830993.jpg';'Day Light';'Panasonic Camera';2
'P1830994.jpg';'Day Light';'Panasonic Camera';2
'P1830995.jpg';'Day Light';'Panasonic Camera';2
'P1830996.jpg';'Day Light';'Panasonic Camera';1
'P1830997.jpg';'Day Light';'Panasonic Camera';1
'P1830998.jpg';'Day Light';'Panasonic Camera';1
'P1830999.jpg';'Day Light';'Panasonic Camera';1
'P1840001.jpg';'Day Light';'Panasonic Camera';1
'P1840002.jpg';'Day Light';'Panasonic Camera';2
'P1840003.jpg';'Day Light';'Panasonic Camera';1
'P1840004.jpg';'Day Light';'Panasonic Camera';1
'P1840005.jpg';'Day Light';'Panasonic Camera';1
'P1840006.jpg';'Day Light';'Panasonic Camera';2
'P1840007.jpg';'Day Light';'Panasonic Camera';6
'P1840008.jpg';'Day Light';'Panasonic Camera';5
'P1840009.jpg';'Day Light';'Panasonic Camera';4
'P1840011.jpg';'Day Light';'Panasonic Camera';6
'P1840012.jpg';'Day Light';'Panasonic Camera';10
'P1840013.jpg';'Day Light';'Panasonic Camera';4
'P1840014.jpg';'Day Light';'Panasonic Camera';3
'P1840015.jpg';'Day Light';'Panasonic Camera';2
'P1840016.jpg';'Day Light';'Panasonic Camera';2
'P1840017.jpg';'Day Light';'Panasonic Camera';3
'P1840018.jpg';'Day Light';'Panasonic Camera';2
'P1840019.jpg';'Day Light';'Panasonic Camera';2
'P1840020.jpg';'Day Light';'Panasonic Camera';1
'P1840021.jpg';'Day Light';'Panasonic Camera';1
'P1840022.jpg';'Day Light';'Panasonic Camera';1
'P1840023.jpg';'Day Light';'Panasonic Camera';2
'P1840024.jpg';'Day Light';'Panasonic Camera';3
'P1840025.jpg';'Day Light';'Panasonic Camera';3
'P1840026.jpg';'Day Light';'Panasonic Camera';2
'P1840027.jpg';'Day Light';'Panasonic Camera';1
'P1840028.jpg';'Day Light';'Panasonic Camera';1
'P1840029.jpg';'Day Light';'Panasonic Camera';1
'P1840030.jpg';'Day Light';'Panasonic Camera';2
'P1840031.jpg';'Day Light';'Panasonic Camera';1
'P1840032.jpg';'Day Light';'Panasonic Camera';2
'P1840033.jpg';'Day Light';'Panasonic Camera';1
'P1840034.jpg';'Day Light';'Panasonic Camera';4
'P1840035.jpg';'Day Light';'Panasonic Camera';3
'P1840036.jpg';'Day Light';'Panasonic Camera';3
'P1840037.jpg';'Day Light';'Panasonic Camera';4
'P1840038.jpg';'Day Light';'Panasonic Camera';4
'P1840039.jpg';'Day Light';'Panasonic Camera';3
'P1840040.jpg';'Day Light';'Panasonic Camera';4
'P1840041.jpg';'Day Light';'Panasonic Camera';5
'P1840042.jpg';'Day Light';'Panasonic Camera';2
'P1840043.jpg';'Day Light';'Panasonic Camera';2
'P1840044.jpg';'Day Light';'Panasonic Camera';2
'P1840045.jpg';'Day Light';'Panasonic Camera';1
'P1840046.jpg';'Day Light';'Panasonic Camera';2
'P1840047.jpg';'Day Light';'Panasonic Camera';2
'P1840048.jpg';'Day Light';'Panasonic Camera';2
'P1840049.jpg';'Day Light';'Panasonic Camera';1
'P1840050.jpg';'Day Light';'Panasonic Camera';1
'P1840051.jpg';'Day Light';'Panasonic Camera';2
'P1840052.jpg';'Day Light';'Panasonic Camera';2
'P1840053.jpg';'Day Light';'Panasonic Camera';1
'P1840054.jpg';'Day Light';'Panasonic Camera';1
'P1840055.jpg';'Day Light';'Panasonic Camera';5
'P1840056.jpg';'Day Light';'Panasonic Camera';6
'P1840057.jpg';'Day Light';'Panasonic Camera';2
'P1840058.jpg';'Day Light';'Panasonic Camera';3
'P1840059.jpg';'Day Light';'Panasonic Camera';2
'P1840060.jpg';'Day Light';'Panasonic Camera';2
'P1840061.jpg';'Day Light';'Panasonic Camera';2
'P1840062.jpg';'Day Light';'Panasonic Camera';2
'P1840063.jpg';'Day Light';'Panasonic Camera';1
'P1840064.jpg';'Day Light';'Panasonic Camera';1
'P1840065.jpg';'Day Light';'Panasonic Camera';1
'P1840066.jpg';'Day Light';'Panasonic Camera';1
'P1840067.jpg';'Day Light';'Panasonic Camera';1
'P1840068.jpg';'Day Light';'Panasonic Camera';1
'P1840069.jpg';'Day Light';'Panasonic Camera';3
'P1840070.jpg';'Day Light';'Panasonic Camera';5
'P1840071.jpg';'Day Light';'Panasonic Camera';5
'P1840072.jpg';'Day Light';'Panasonic Camera';5
'P1840073.jpg';'Day Light';'Panasonic Camera';4
'P1840074.jpg';'Day Light';'Panasonic Camera';4
'P1840075.jpg';'Day Light';'Panasonic Camera';1
'P1840076.jpg';'Day Light';'Panasonic Camera';1
'P1840077.jpg';'Day Light';'Panasonic Camera';2
'P1840078.jpg';'Day Light';'Panasonic Camera';2
'P1840079.jpg';'Day Light';'Panasonic Camera';1
'P1840080.jpg';'Day Light';'Panasonic Camera';1
'P1840081.jpg';'Day Light';'Panasonic Camera';4
'P1840082.jpg';'Day Light';'Panasonic Camera';3
'P1840083.jpg';'Day Light';'Panasonic Camera';3
'P1840084.jpg';'Day Light';'Panasonic Camera';3
'P1840085.jpg';'Day Light';'Panasonic Camera';1
'P1840086.jpg';'Day Light';'Panasonic Camera';1
'P1840087.jpg';'Day Light';'Panasonic Camera';1
'P1840088.jpg';'Day Light';'Panasonic Camera';1
'P1840089.jpg';'Day Light';'Panasonic Camera';6
'P1840090.jpg';'Day Light';'Panasonic Camera';5
'P1840091.jpg';'Day Light';'Panasonic Camera';5
'P1840092.jpg';'Day Light';'Panasonic Camera';4
'P1840093.jpg';'Day Light';'Panasonic Camera';1
'P1840094.jpg';'Day Light';'Panasonic Camera';2
'P1840095.jpg';'Day Light';'Panasonic Camera';4
'P1840096.jpg';'Day Light';'Panasonic Camera';4
'P1840097.jpg';'Day Light';'Panasonic Camera';2
'P1840098.jpg';'Day Light';'Panasonic Camera';2
'P1840099.jpg';'Day Light';'Panasonic Camera';5
'P1840100.jpg';'Day Light';'Panasonic Camera';3
'P1840101.jpg';'Day Light';'Panasonic Camera';3
'P1840102.jpg';'Day Light';'Panasonic Camera';5
'P1840103.jpg';'Day Light';'Panasonic Camera';1
'P1840104.jpg';'Day Light';'Panasonic Camera';2
'P1840105.jpg';'Day Light';'Panasonic Camera';0
'P1840106.jpg';'Day Light';'Panasonic Camera';2
'P1840107.jpg';'Day Light';'Panasonic Camera';1
'P1840108.jpg';'Day Light';'Panasonic Camera';3
'P1840109.jpg';'Day Light';'Panasonic Camera';2
'P1840110.jpg';'Day Light';'Panasonic Camera';3
'P1840111.jpg';'Day Light';'Panasonic Camera';8
'P1840112.jpg';'Day Light';'Panasonic Camera';10
'P1840113.jpg';'Day Light';'Panasonic Camera';15
'P1840114.jpg';'Day Light';'Panasonic Camera';14
'P1840115.jpg';'Day Light';'Panasonic Camera';13
'P1840116.jpg';'Day Light';'Panasonic Camera';13
'P1840117.jpg';'Day Light';'Panasonic Camera';9
'P1840118.jpg';'Day Light';'Panasonic Camera';8
'P1840119.jpg';'Day Light';'Panasonic Camera';7
'P1840120.jpg';'Day Light';'Panasonic Camera';5
'P1840121.jpg';'Day Light';'Panasonic Camera';4
'P1840122.jpg';'Day Light';'Panasonic Camera';2
'P1840123.jpg';'Day Light';'Panasonic Camera';3
'P1840124.jpg';'Day Light';'Panasonic Camera';1
'P1840125.jpg';'Day Light';'Panasonic Camera';2
'P1840126.jpg';'Day Light';'Panasonic Camera';1
'P1840127.jpg';'Day Light';'Panasonic Camera';1
'P1840128.jpg';'Day Light';'Panasonic Camera';2
'P1840129.jpg';'Day Light';'Panasonic Camera';2
'P1840130.jpg';'Day Light';'Panasonic Camera';2
'P1840131.jpg';'Day Light';'Panasonic Camera';3
'P1840132.jpg';'Day Light';'Panasonic Camera';3
'P1840133.jpg';'Day Light';'Panasonic Camera';3
'P1840134.jpg';'Day Light';'Panasonic Camera';3
'P1840135.jpg';'Day Light';'Panasonic Camera';3
'P1840136.jpg';'Day Light';'Panasonic Camera';3
'P1840137.jpg';'Day Light';'Panasonic Camera';2
'P1840138.jpg';'Day Light';'Panasonic Camera';1
'P1840139.jpg';'Day Light';'Panasonic Camera';1
'P1840140.jpg';'Day Light';'Panasonic Camera';3
'P1840141.jpg';'Day Light';'Panasonic Camera';1
'P1840142.jpg';'Day Light';'Panasonic Camera';1
'P1840143.jpg';'Day Light';'Panasonic Camera';7
'P1840144.jpg';'Day Light';'Panasonic Camera';6
'P1840145.jpg';'Day Light';'Panasonic Camera';4
'P1840146.jpg';'Day Light';'Panasonic Camera';5
'P1840147.jpg';'Day Light';'Panasonic Camera';3
'P1840148.jpg';'Day Light';'Panasonic Camera';3
'P1840149.jpg';'Day Light';'Panasonic Camera';3
'P1840150.jpg';'Day Light';'Panasonic Camera';4
'P1840151.jpg';'Day Light';'Panasonic Camera';4
'P1840152.jpg';'Day Light';'Panasonic Camera';4
'P1840153.jpg';'Day Light';'Panasonic Camera';3
'P1840154.jpg';'Day Light';'Panasonic Camera';3
'P1840155.jpg';'Day Light';'Panasonic Camera';1
'P1840156.jpg';'Day Light';'Panasonic Camera';2
'P1840157.jpg';'Day Light';'Panasonic Camera';2
'P1840159.jpg';'Day Light';'Panasonic Camera';3
'P1840160.jpg';'Day Light';'Panasonic Camera';3
'P1840161.jpg';'Day Light';'Panasonic Camera';3
'P1840162.jpg';'Day Light';'Panasonic Camera';1
'P1840163.jpg';'Day Light';'Panasonic Camera';1
'P1840164.jpg';'Day Light';'Panasonic Camera';1
'P1840165.jpg';'Day Light';'Panasonic Camera';1
'P1840166.jpg';'Day Light';'Panasonic Camera';1
'P1840168.jpg';'Day Light';'Panasonic Camera';1
'P1840169.jpg';'Day Light';'Panasonic Camera';1
'P1840170.jpg';'Day Light';'Panasonic Camera';1
'P1840171.jpg';'Day Light';'Panasonic Camera';1
'P1840172.jpg';'Day Light';'Panasonic Camera';1
'P1840173.jpg';'Day Light';'Panasonic Camera';3
'P1840174.jpg';'Day Light';'Panasonic Camera';1
'P1840175.jpg';'Day Light';'Panasonic Camera';1
'P1840176.jpg';'Day Light';'Panasonic Camera';1
'P1840177.jpg';'Day Light';'Panasonic Camera';1
'P1840178.jpg';'Day Light';'Panasonic Camera';1
'P1840179.jpg';'Day Light';'Panasonic Camera';2
'P1840180.jpg';'Day Light';'Panasonic Camera';2
'P1840181.jpg';'Day Light';'Panasonic Camera';8
'P1840182.jpg';'Day Light';'Panasonic Camera';8
'P1840183.jpg';'Day Light';'Panasonic Camera';4
'P1840184.jpg';'Day Light';'Panasonic Camera';6
'P1840185.jpg';'Day Light';'Panasonic Camera';7
'P1840186.jpg';'Day Light';'Panasonic Camera';6
'P1840187.jpg';'Day Light';'Panasonic Camera';3
'P1840188.jpg';'Day Light';'Panasonic Camera';2
'P1840189.jpg';'Day Light';'Panasonic Camera';1
'P1840190.jpg';'Day Light';'Panasonic Camera';1
'P1840191.jpg';'Day Light';'Panasonic Camera';1
'P1840193.jpg';'Day Light';'Panasonic Camera';1
'P1840194.jpg';'Day Light';'Panasonic Camera';1
'P1840195.jpg';'Day Light';'Panasonic Camera';1
'P1840196.jpg';'Day Light';'Panasonic Camera';1
'P1840197.jpg';'Day Light';'Panasonic Camera';1
'P1840198.jpg';'Day Light';'Panasonic Camera';1
'P1840199.jpg';'Day Light';'Panasonic Camera';6
'P1840200.jpg';'Day Light';'Panasonic Camera';6
'P1840201.jpg';'Day Light';'Panasonic Camera';5
'P1840202.jpg';'Day Light';'Panasonic Camera';3
'P1840203.jpg';'Day Light';'Panasonic Camera';2
'P1840204.jpg';'Day Light';'Panasonic Camera';1
'P1840205.jpg';'Day Light';'Panasonic Camera';1
'P1840206.jpg';'Day Light';'Panasonic Camera';1
'P1840207.jpg';'Day Light';'Panasonic Camera';1
'P1840208.jpg';'Day Light';'Panasonic Camera';1
'P1840209.jpg';'Day Light';'Panasonic Camera';1
'P1840210.jpg';'Day Light';'Panasonic Camera';1
'P1840211.jpg';'Day Light';'Panasonic Camera';1
'P1840212.jpg';'Day Light';'Panasonic Camera';1
'P1840213.jpg';'Day Light';'Panasonic Camera';1
'P1840214.jpg';'Day Light';'Panasonic Camera';3
'P1840215.jpg';'Day Light';'Panasonic Camera';2
'P1840216.jpg';'Day Light';'Panasonic Camera';2
'P1840217.jpg';'Day Light';'Panasonic Camera';2
'P1840218.jpg';'Day Light';'Panasonic Camera';3
'P1840219.jpg';'Day Light';'Panasonic Camera';2
'P1840220.jpg';'Day Light';'Panasonic Camera';1
'P1840221.jpg';'Day Light';'Panasonic Camera';1
'P1840222.jpg';'Day Light';'Panasonic Camera';2
'P1840223.jpg';'Day Light';'Panasonic Camera';1
'P1840224.jpg';'Day Light';'Panasonic Camera';1
'P1840225.jpg';'Day Light';'Panasonic Camera';1
'P1840226.jpg';'Day Light';'Panasonic Camera';2
'P1840227.jpg';'Day Light';'Panasonic Camera';4
'P1840228.jpg';'Day Light';'Panasonic Camera';2
'P1840229.jpg';'Raining';'Panasonic Camera';1
'P1840230.jpg';'Raining';'Panasonic Camera';2
'P1840231.jpg';'Raining';'Panasonic Camera';4
'P1840232.jpg';'Raining';'Panasonic Camera';2
'P1840233.jpg';'Raining';'Panasonic Camera';2
'P1840234.jpg';'Raining';'Panasonic Camera';1
'P1840235.jpg';'Raining';'Panasonic Camera';1
'P1840236.jpg';'Raining';'Panasonic Camera';4
'P1840237.jpg';'Raining';'Panasonic Camera';2
'P1840238.jpg';'Day Light';'Panasonic Camera';2
'P1840239.jpg';'Day Light';'Panasonic Camera';2
'P1840240.jpg';'Day Light';'Panasonic Camera';2
'P1840241.jpg';'Day Light';'Panasonic Camera';2
'P1840242.jpg';'Day Light';'Panasonic Camera';4
'P1840243.jpg';'Day Light';'Panasonic Camera';2
'P1840244.jpg';'Day Light';'Panasonic Camera';2
'P1840245.jpg';'Day Light';'Panasonic Camera';4
'P1840246.jpg';'Day Light';'Panasonic Camera';5
'P1840247.jpg';'Day Light';'Panasonic Camera';4
'P1840248.jpg';'Day Light';'Panasonic Camera';3
'P1840249.jpg';'Day Light';'Panasonic Camera';1
'P1840250.jpg';'Day Light';'Panasonic Camera';1
'P1840251.jpg';'Day Light';'Panasonic Camera';1
