filename,Class ID,xmin,ymin,xmax,ymax
P1840133.jpg,1,3540,862,3866,1264
P1840149.jpg,1,1855,1918,1884,1963
P1840150.jpg,1,2578,1999,2619,2061
P1840151.jpg,1,2613,1995,2658,2070
P1840152.jpg,1,2406,1893,2458,1975
P1840153.jpg,1,3238,1604,3357,1791
P1840154.jpg,1,3616,1353,3786,1612
P1840275.jpg,1,1517,1893,1558,1956
P1840276.jpg,1,2857,1399,2918,1489
P1840305.jpg,1,2669,1352,2793,1539
P1840313.jpg,1,2408,1622,2503,1757
P1840314.jpg,1,2377,1451,2519,1653
P1840315.jpg,1,2459,1419,2661,1712
P1840330.jpg,1,3229,1256,3390,1459
P1840332.jpg,1,3011,1399,3168,1598
P1840333.jpg,1,3369,1521,3657,1885
P1840337.jpg,1,2526,1364,2698,1617
P1840338.jpg,1,2741,788,3053,1267
P1840384.jpg,1,532,1786,608,1907
P1840394.jpg,1,2984,1789,3125,1980
P1840395.jpg,1,2997,1718,3190,1989
P1840396.jpg,1,3405,1021,3896,1697
P1840432.jpg,1,3178,1410,3311,1584
P1840450.jpg,1,1402,2458,1448,2525
P1840511.jpg,1,3099,1640,3248,1873
P1840571.jpg,1,2712,1308,2809,1450
P1840572.jpg,1,2887,1348,3012,1527
P1840573.jpg,1,3180,1289,3356,1541
P1860071.jpg,1,3181,2244,3217,2295
P1860072.jpg,1,2855,1992,2938,2117
P1860073.jpg,1,3545,1732,3672,1924
P1860082.jpg,1,2578,1963,2647,2072
P1860083.jpg,1,3387,2024,3493,2186
P1860090.jpg,1,2447,1822,2513,1907
P1860091.jpg,1,3288,2113,3411,2275
P1860101.jpg,1,3286,2211,3339,2290
P1860102.jpg,1,3892,1473,4104,1768
P1860392.jpg,1,2622,1297,2739,1467
P1860393.jpg,1,2801,1195,2967,1418
P1860395.jpg,1,2703,1401,2774,1496
P1860415.jpg,1,3115,1260,3283,1502
P1860416.jpg,1,3812,773,4121,1242
1000.jpg,2,527,413,606,491
1019.jpg,2,1067,581,1086,600
1020.jpg,2,1043,582,1063,601
1021.jpg,2,708,542,767,598
1024.jpg,2,1120,813,1137,830
1025.jpg,2,444,807,509,878
1034.jpg,2,538,601,590,642
1034.jpg,2,740,601,759,617
1035.jpg,2,25,589,134,677
1035.jpg,2,612,599,624,611
1042.jpg,2,1455,455,1548,562
1056.jpg,2,675,401,766,496
1057.jpg,2,1020,463,1066,508
1061.jpg,2,831,647,867,680
1068.jpg,2,1184,515,1206,538
1069.jpg,2,1368,397,1387,418
Screenshot (100).png,2,801,648,861,708
Screenshot (101).png,2,272,640,387,755
Screenshot (245).png,2,1202,556,1225,579
Screenshot (245).png,2,1258,554,1274,570
Screenshot (245).png,2,1276,554,1288,566
Screenshot (246).png,2,1257,552,1271,565
Screenshot (246).png,2,1231,553,1250,570
Screenshot (246).png,2,1147,554,1175,584
Screenshot (247).png,2,1056,555,1092,592
Screenshot (247).png,2,1196,551,1217,572
Screenshot (247).png,2,1234,549,1251,565
Screenshot (248).png,2,889,557,939,613
Screenshot (248).png,2,1144,552,1171,578
Screenshot (248).png,2,1203,551,1222,569
Screenshot (249).png,2,468,574,552,672
Screenshot (249).png,2,1164,554,1187,576
Screenshot (249).png,2,1064,556,1101,590
Screenshot (250).png,2,922,560,972,612
Screenshot (250).png,2,1109,555,1137,584
Screenshot (251).png,2,582,575,666,660
Screenshot (251).png,2,1014,559,1053,598
Screenshot (252).png,2,836,560,892,618
Screenshot (253).png,2,363,581,461,686
Screenshot (85).png,2,1187,457,1205,475
Screenshot (85).png,2,1646,313,1660,327
Screenshot (86).png,2,1712,293,1732,310
Screenshot (86).png,2,1122,474,1151,504
Screenshot (87).png,2,909,464,967,522
Screenshot (87).png,2,1800,247,1821,269
Screenshot (88).png,2,1735,427,1755,446
Screenshot (88).png,2,888,624,948,681
Screenshot (89).png,2,927,349,948,376
Screenshot (90).png,2,541,289,584,331
Screenshot (97).png,2,1211,658,1229,674
Screenshot (98).png,2,1185,658,1205,677
Screenshot (99).png,2,1088,658,1119,688
109.jpg,2,733,495,759,518
110.jpg,2,326,517,382,561
118.jpg,2,685,457,711,480
119.jpg,2,631,439,665,471
119.jpg,2,845,431,856,442
142.jpg,2,636,333,672,367
143.jpg,2,152,619,259,713
25.jpg,2,632,444,649,458
26.jpg,2,804,465,809,469
27.jpg,2,631,526,652,544
28.jpg,2,366,523,421,566
DSC-0108.jpg,2,1840,1251,1874,1291
DSC-0108.jpg,2,1765,1323,1810,1364
DSC-0109.jpg,2,813,1184,1021,1361
DSC-0109.jpg,2,1383,1008,1488,1122
P1840122.jpg,2,867,2074,1041,2247
P1840123.jpg,2,2950,2345,2980,2378
P1840123.jpg,2,1039,1970,1212,2140
P1860639.jpg,2,500,1726,793,2019
P1860653.jpg,2,744,552,753,560
1000.jpg,3,1145,493,1163,512
1001.jpg,3,1097,479,1119,501
1002.jpg,3,316,439,433,559
1007.jpg,3,943,801,960,818
1008.jpg,3,704,800,727,828
1019.jpg,3,773,532,838,590
1020.jpg,3,421,482,526,589
1033.jpg,3,2191,573,2298,663
1036.jpg,3,1548,514,1557,523
1037.jpg,3,1580,511,1591,522
1055.jpg,3,494,474,575,558
1056.jpg,3,1265,489,1286,509
1057.jpg,3,1282,495,1299,513
1058.jpg,3,1164,563,1171,571
1068.jpg,3,1348,541,1361,553
1069.jpg,3,1516,416,1527,430
1085.jpg,3,1434,679,1500,747
Screenshot (226).png,3,1946,548,2020,613
Screenshot (227).png,3,1703,552,1750,597
Screenshot (228).png,3,1620,551,1652,585
Screenshot (244).png,3,1441,659,1455,673
Screenshot (287).png,3,847,693,858,703
Screenshot (287).png,3,795,686,801,693
Screenshot (288).png,3,875,697,889,710
Screenshot (288).png,3,826,692,834,701
Screenshot (289).png,3,851,687,870,705
Screenshot (289).png,3,806,685,814,694
Screenshot (302).png,3,1447,645,1504,698
Screenshot (302).png,3,1170,677,1180,688
Screenshot (306).png,3,1193,705,1203,716
Screenshot (306).png,3,1151,700,1156,705
113.jpg,3,1052,442,1070,460
114.jpg,3,1123,427,1151,454
114.jpg,3,1011,469,1023,480
115.jpg,3,1036,463,1050,477
115.jpg,3,1307,375,1359,428
122.jpg,3,1150,491,1168,515
123.jpg,3,1348,537,1385,593
142.jpg,3,1172,310,1196,330
143.jpg,3,1268,492,1299,521
17.jpg,3,621,330,641,348
18.jpg,3,584,421,610,446
DSC-0109.jpg,3,2474,1241,2545,1310
DSC-0142.jpg,3,2039,987,2079,1027
DSC-0143.jpg,3,2620,765,2686,828
DSC-0144.jpg,3,2779,503,2909,630
P1830989.jpg,3,2992,1844,3131,1982
P1830990.jpg,3,3147,1846,3347,2046
P1830991.jpg,3,3542,1613,3881,1948
P1840024.jpg,3,2845,1836,2997,1984
P1840025.jpg,3,3296,1817,3566,2088
P1840069.jpg,3,2996,1580,3501,2151
P1840113.jpg,3,1763,2075,1814,2128
P1840114.jpg,3,1608,2269,1636,2296
P1840115.jpg,3,1591,2288,1620,2314
P1840116.jpg,3,976,1945,1142,2105
P1840117.jpg,3,1641,2154,1682,2194
P1840118.jpg,3,2206,2229,2254,2277
P1840119.jpg,3,2877,1848,2955,1924
P1840120.jpg,3,1897,1807,2073,1976
P1840121.jpg,3,2861,1987,3676,2821
P1840218.jpg,3,1335,1965,1410,2075
P1840219.jpg,3,1059,1892,1145,2017
P1840220.jpg,3,1854,1637,2024,1872
P1840221.jpg,3,330,1372,647,1752
P1840291.jpg,3,3030,1727,3192,1888
P1840312.jpg,3,2257,1019,3476,2245
P1840575.jpg,3,210,1634,308,1734
P1840576.jpg,3,84,1723,193,1836
P1840577.jpg,3,2792,2179,2936,2329
P1860094.jpg,3,2626,1595,2653,1623
P1860095.jpg,3,3072,1759,3102,1790
P1860096.jpg,3,3100,1800,3136,1837
P1860097.jpg,3,3138,1876,3195,1934
P1860098.jpg,3,3381,1838,3443,1899
P1860099.jpg,3,3348,1932,3434,2009
P1860100.jpg,3,3332,1747,3491,1904
P1860100.jpg,3,3187,1878,3294,1988
P1860101.jpg,3,3648,1591,3967,1907
P1860101.jpg,3,3155,1959,3326,2128
P1860101.jpg,3,3070,2087,3181,2196
P1860106.jpg,3,3055,2187,3162,2295
P1860106.jpg,3,2049,2223,2146,2298
P1860107.jpg,3,1906,2077,2037,2208
P1860107.jpg,3,3906,2024,4088,2204
P1860108.jpg,3,1081,1557,1329,1808
P1860108.jpg,3,3598,1574,3919,1891
P1840012.jpg,4,1237,1783,1292,1836
P1840252.jpg,4,83,1582,416,1935
P1840270.jpg,4,2191,1507,2481,1769
P1840335.jpg,4,1320,1322,1558,1547
P1840435.jpg,4,2584,1719,2736,1872
P1840436.jpg,4,2852,1570,3074,1791
P1840437.jpg,4,3014,1410,3335,1730
P1860371.jpg,4,1916,1992,2052,2124
P1860409.jpg,4,1698,1657,1831,1791
P1860410.jpg,4,1393,1647,1598,1847
P1860411.jpg,4,746,1585,1067,1910
1000.jpg,5,511,328,592,408
1000.jpg,5,1145,476,1162,493
1001.jpg,5,1096,457,1119,479
1002.jpg,5,285,312,409,442
1007.jpg,5,944,784,959,800
1008.jpg,5,706,772,728,799
1019.jpg,5,770,465,833,528
1019.jpg,5,1066,562,1084,580
1020.jpg,5,408,369,515,479
1020.jpg,5,1041,560,1063,580
1021.jpg,5,701,480,760,537
1024.jpg,5,984,814,1011,843
1055.jpg,5,483,382,564,472
1056.jpg,5,663,303,754,400
1056.jpg,5,1266,468,1287,488
1057.jpg,5,1282,477,1300,495
1057.jpg,5,1018,415,1064,461
1061.jpg,5,831,613,868,647
1064.jpg,5,630,454,720,551
1068.jpg,5,1184,489,1207,513
1068.jpg,5,1348,527,1361,541
1069.jpg,5,1369,376,1389,396
1069.jpg,5,1517,404,1529,415
Screenshot (100).png,5,797,584,858,645
Screenshot (101).png,5,268,517,379,636
Screenshot (303).png,5,1196,688,1217,708
Screenshot (304).png,5,1149,707,1175,732
Screenshot (305).png,5,872,713,929,776
Screenshot (85).png,5,1646,296,1661,313
Screenshot (86).png,5,1714,273,1733,292
Screenshot (87).png,5,1802,222,1827,246
Screenshot (88).png,5,1736,407,1757,426
Screenshot (89).png,5,923,320,947,348
Screenshot (90).png,5,533,247,576,290
Screenshot (97).png,5,1210,639,1229,657
Screenshot (98).png,5,1184,638,1204,657
Screenshot (99).png,5,1086,627,1118,657
P1840069.jpg,5,3007,1000,3503,1564
1017.jpg,6,980,676,995,694
1081.jpg,6,815,622,873,681
Screenshot (11).png,6,1192,632,1212,650
Screenshot (113).png,6,979,566,1020,604
Screenshot (114).png,6,811,543,868,597
Screenshot (119).png,6,673,585,714,621
Screenshot (12).png,6,1161,602,1192,633
Screenshot (120).png,6,623,521,686,576
Screenshot (13).png,6,939,680,962,701
Screenshot (14).png,6,901,648,939,683
Screenshot (15).png,6,629,574,712,648
Screenshot (159).png,6,1067,520,1118,567
Screenshot (160).png,6,1214,531,1239,555
Screenshot (161).png,6,1268,539,1284,557
Screenshot (162).png,6,934,470,971,505
Screenshot (163).png,6,535,463,617,535
Screenshot (170).png,6,723,552,809,629
Screenshot (179).png,6,525,512,595,570
Screenshot (180).png,6,1049,522,1076,545
Screenshot (185).png,6,1177,535,1214,574
Screenshot (186).png,6,781,567,922,702
Screenshot (187).png,6,948,375,1001,426
Screenshot (188).png,6,715,354,805,438
Screenshot (189).png,6,1095,365,1139,410
Screenshot (204).png,6,652,539,699,585
Screenshot (210).png,6,1164,445,1175,457
Screenshot (211).png,6,911,512,938,539
Screenshot (212).png,6,530,507,583,557
Screenshot (213).png,6,805,493,862,553
Screenshot (217).png,6,1274,662,1333,732
Screenshot (218).png,6,352,490,561,700
Screenshot (219).png,6,622,450,714,563
Screenshot (22).png,6,1014,440,1052,479
Screenshot (222).png,6,954,561,1042,668
Screenshot (222).png,6,1438,565,1462,591
Screenshot (223).png,6,1227,537,1276,588
Screenshot (225).png,6,1196,585,1218,607
Screenshot (229).png,6,782,472,856,542
Screenshot (24).png,6,589,524,688,621
Screenshot (25).png,6,1075,517,1112,553
Screenshot (26).png,6,923,570,990,633
Screenshot (276).png,6,614,634,663,678
Screenshot (277).png,6,697,623,730,668
Screenshot (278).png,6,948,473,971,515
Screenshot (278).png,6,1124,443,1139,459
Screenshot (30).png,6,1266,546,1311,601
Screenshot (31).png,6,1023,648,1099,736
Screenshot (49).png,6,1107,755,1127,776
Screenshot (50).png,6,1086,761,1111,786
Screenshot (58).png,6,1087,692,1132,743
Screenshot (59).png,6,1060,686,1121,750
Screenshot (67).png,6,229,467,512,754
Screenshot (68).png,6,1306,618,1379,689
Screenshot (69).png,6,1145,545,1190,593
Screenshot (85).png,6,1251,394,1276,419
Screenshot (86).png,6,1225,377,1261,415
Screenshot (87).png,6,1122,271,1190,346
Screenshot (88).png,6,1104,448,1168,515
71.jpg,6,184,476,268,547
P1830980.jpg,6,4062,850,4304,1096
P1830982.jpg,6,1679,1535,1731,1589
P1830983.jpg,6,581,1232,713,1372
P1830996.jpg,6,1224,1450,1338,1579
P1830997.jpg,6,922,1028,1088,1217
P1830998.jpg,6,425,784,673,1071
P1840089.jpg,6,1743,1821,1865,1946
P1840089.jpg,6,4198,1732,4234,1780
P1840090.jpg,6,451,1363,711,1624
P1840161.jpg,6,674,1614,882,1937
P1840309.jpg,6,1409,1413,1641,1637
P1840310.jpg,6,1203,858,1554,1212
P1840311.jpg,6,883,967,1314,1387
P1840348.jpg,6,2151,1535,2293,1678
P1840458.jpg,6,4081,503,4429,852
P1840608.jpg,6,543,1450,691,1638
P1860035.jpg,6,1552,2591,1786,2831
P1860036.jpg,6,730,772,966,1009
P1860338.jpg,6,1007,1122,1098,1234
Screenshot (60).png,7,1214,572,1245,605
Screenshot (61).png,7,1049,550,1102,604
Screenshot (62).png,7,313,465,475,614
Screenshot (85).png,7,1255,419,1273,438
Screenshot (86).png,7,1230,415,1258,445
Screenshot (87).png,7,1132,349,1187,407
Screenshot (88).png,7,1114,518,1164,570
P1840001.jpg,7,893,1431,1027,1564
P1840002.jpg,7,188,1458,410,1676
P1840466.jpg,7,1715,1536,1857,1679
P1840467.jpg,7,2578,1430,2892,1767
P1840468.jpg,7,2805,1712,3018,1922
P1840469.jpg,7,3054,1573,3315,1832
P1840470.jpg,7,2093,1805,2210,1933
P1840470.jpg,7,4006,891,4450,1326
P1840471.jpg,7,3447,1155,3642,1350
P1840472.jpg,7,3472,1169,3707,1400
P1840473.jpg,7,3672,1010,3953,1287
1085.jpg,8,825,664,851,724
Screenshot (121).png,8,1354,538,1371,556
Screenshot (122).png,8,1343,536,1366,558
Screenshot (123).png,8,1195,517,1259,583
Screenshot (124).png,8,366,465,630,714
Screenshot (275).png,8,606,661,644,693
Screenshot (276).png,8,617,679,665,727
Screenshot (277).png,8,701,668,730,709
Screenshot (278).png,8,950,515,974,557
Screenshot (7).png,8,942,591,1007,653
Screenshot (8).png,8,509,564,646,691
P1840099.jpg,8,3354,1806,3379,1829
P1840156.jpg,8,2282,1798,2327,1862
P1840157.jpg,8,3405,1674,3643,1917
P1840161.jpg,8,659,1203,894,1583
P1840175.jpg,8,3122,1662,3394,1926
P1840176.jpg,8,3223,1006,3670,1447
1080.jpg,9,1360,726,1370,738
1081.jpg,9,2183,663,2221,700
1082.jpg,9,1501,667,1568,732
1082.jpg,9,1307,689,1316,701
1083.jpg,9,1321,679,1332,692
1084.jpg,9,1472,672,1509,715
Screenshot (220).png,9,1433,567,1473,607
Screenshot (221).png,9,1625,548,1701,639
Screenshot (224).png,9,1333,543,1371,594
Screenshot (225).png,9,1617,585,1648,616
Screenshot (244).png,9,1513,704,1552,739
Screenshot (311).png,9,1301,459,1350,526
P1840112.jpg,9,2833,1651,3101,1923
P1840113.jpg,9,1848,2158,1879,2190
P1840114.jpg,9,2103,1386,2151,1442
P1840115.jpg,9,1470,2094,1548,2170
P1840116.jpg,9,2450,1237,2823,1624
P1840117.jpg,9,2243,2112,2277,2164
P1840118.jpg,9,1127,1176,1456,1502
P1840185.jpg,9,1776,1737,1850,1811
P1840217.jpg,9,956,919,1024,986
P1840218.jpg,9,2666,1221,2945,1515
P1840219.jpg,9,2694,843,3076,1249
P1840223.jpg,9,2735,1192,2896,1353
P1840224.jpg,9,2930,1300,3146,1516
P1840225.jpg,9,3016,1018,3338,1338
P1840272.jpg,9,2456,2044,2505,2094
P1840272.jpg,9,3005,1819,3124,1940
P1840273.jpg,9,2451,1886,2508,1945
P1840273.jpg,9,3459,1520,3643,1704
P1840275.jpg,9,587,1896,678,1976
P1860075.jpg,9,3002,984,3225,1211
1003.jpg,10,1482,542,1511,575
1003.jpg,10,1156,537,1179,561
1004.jpg,10,1629,544,1684,598
1004.jpg,10,1104,533,1138,568
1005.jpg,10,856,611,922,674
1005.jpg,10,2133,626,2265,770
1038.jpg,10,1537,595,1559,619
1038.jpg,10,2204,606,2236,635
1105.jpg,10,1793,344,1863,411
1105.jpg,10,1537,362,1569,393
1106.jpg,10,1763,631,1818,684
Screenshot (102).png,10,1867,683,1889,703
Screenshot (102).png,10,2076,679,2094,695
Screenshot (102).png,10,1672,660,1693,675
Screenshot (102).png,10,1384,684,1403,702
Screenshot (102).png,10,2292,674,2310,695
Screenshot (103).png,10,2018,612,2056,648
Screenshot (103).png,10,1453,662,1491,702
Screenshot (103).png,10,2391,658,2429,694
Screenshot (140).png,10,2505,747,2535,766
Screenshot (141).png,10,1532,698,1552,715
Screenshot (273).png,10,1984,469,2043,521
Screenshot (276).png,10,375,641,389,654
Screenshot (276).png,10,165,634,182,651
Screenshot (278).png,10,349,416,394,463
Screenshot (289).png,10,705,685,711,693
Screenshot (43).png,10,961,503,1020,563
Screenshot (43).png,10,1960,488,2014,541
132.jpg,10,1488,321,1539,362
20.jpg,10,1527,345,1573,392
26.jpg,10,1098,419,1117,457
28.jpg,10,1399,377,1493,473
P1830977.jpg,10,645,1074,826,1352
P1830979.jpg,10,2649,1891,2765,2007
P1830979.jpg,10,3200,1204,3717,1721
P1830980.jpg,10,151,865,418,1126
P1840006.jpg,10,2033,1911,2183,2064
P1840013.jpg,10,3334,1866,3490,2043
P1840013.jpg,10,3666,1894,3793,2035
P1840014.jpg,10,4199,1274,4454,1584
P1840014.jpg,10,4376,1399,4558,1617
P1840088.jpg,10,1802,370,2958,1506
P1840113.jpg,10,1804,2139,1832,2168
P1840114.jpg,10,2675,1593,2979,1899
P1840115.jpg,10,1533,2221,1566,2257
P1840116.jpg,10,2992,1317,3360,1680
P1840116.jpg,10,2290,534,2408,651
P1840117.jpg,10,667,1249,908,1454
P1840117.jpg,10,1129,1507,1303,1692
P1840118.jpg,10,2347,2178,2397,2234
P1840118.jpg,10,2898,2164,2942,2222
P1840119.jpg,10,3103,1783,3181,1867
P1840120.jpg,10,2353,1704,2516,1890
P1840120.jpg,10,4229,1702,4435,1906
P1840121.jpg,10,3875,1873,4524,2524
P1840159.jpg,10,1,1531,357,1978
P1840159.jpg,10,1103,1349,1234,1791
P1840160.jpg,10,595,1150,1038,1683
P1840160.jpg,10,1909,908,2110,1445
P1840177.jpg,10,3401,927,3670,1349
P1840216.jpg,10,632,1559,843,1815
P1840317.jpg,10,2820,1773,2886,1836
P1840318.jpg,10,1376,1665,1506,1788
P1840319.jpg,10,300,1939,498,2193
P1840551.jpg,10,247,2328,307,2484
P1840552.jpg,10,1671,1388,1844,1681
P1840552.jpg,10,3428,1248,3651,1516
P1840574.jpg,10,1765,1556,1839,1631
P1840574.jpg,10,3502,1848,3555,1907
P1840575.jpg,10,2170,1457,2246,1546
P1840575.jpg,10,3275,1468,3381,1583
P1840576.jpg,10,2204,1570,2286,1664
P1840576.jpg,10,3453,1601,3572,1727
P1840578.jpg,10,2399,1403,2525,1541
P1840579.jpg,10,2441,782,2793,1175
P1840580.jpg,10,2438,712,2794,1107
P1860084.jpg,10,3345,2117,3390,2162
P1860393.jpg,10,1396,760,1499,859
P1860394.jpg,10,2281,1113,2532,1348
Screenshot (81).png,11,385,777,430,814
124.jpg,11,787,430,813,457
124.jpg,11,1024,429,1042,447
P1840236.jpg,11,1,1612,153,1822
P1840250.jpg,11,478,1206,733,1567
P1860110.jpg,11,1003,1944,1130,2088
P1860111.jpg,11,608,1575,724,1690
P1860111.jpg,11,1303,1625,1395,1727
P1860055.jpg,12,477,1280,644,1462
P1860056.jpg,12,3991,1548,4335,1917
1079.jpg,13,1357,729,1389,760
1079.jpg,13,1272,718,1285,732
1080.jpg,13,1799,691,1937,818
1080.jpg,13,1407,707,1425,723
1091.jpg,13,1892,487,2007,590
1092.jpg,13,1681,558,1727,600
1093.jpg,13,1654,574,1683,605
1096.jpg,13,1435,574,1445,584
1101.jpg,13,1809,492,1862,541
1102.jpg,13,1748,506,1789,543
1103.jpg,13,1463,488,1487,511
Screenshot (102).png,13,1416,622,1443,646
Screenshot (102).png,13,1702,644,1728,669
Screenshot (102).png,13,2059,586,2088,615
Screenshot (102).png,13,2187,640,2211,670
Screenshot (102).png,13,2520,570,2546,595
Screenshot (103).png,13,1529,531,1587,582
Screenshot (103).png,13,2126,571,2182,627
Screenshot (73).png,13,787,660,821,699
Screenshot (95).png,13,209,561,282,674
Screenshot (96).png,13,1312,552,1335,576
P1830940.jpg,13,387,1575,436,1626
P1840090.jpg,13,1144,1745,1214,1815
P1840102.jpg,13,3496,1442,3582,1528
P1840108.jpg,13,1503,1743,1546,1786
P1840111.jpg,13,3347,1038,3435,1123
P1840112.jpg,13,2379,2101,2413,2130
P1840348.jpg,13,2504,1688,2556,1738
P1860112.jpg,13,2098,1000,2297,1198
P1860113.jpg,13,1859,204,2200,553
Screenshot (81).png,14,383,813,429,851
Screenshot (89).png,14,1454,422,1486,460
Screenshot (90).png,14,1109,369,1153,430
Screenshot (94).png,14,1736,57,1962,296
Screenshot (94).png,14,898,489,924,519
Screenshot (95).png,14,1600,436,1645,483
Screenshot (95).png,14,1039,496,1053,519
Screenshot (96).png,14,1606,483,1631,508
75.jpg,14,945,481,962,498
76.jpg,14,995,415,1026,445
P1830981.jpg,14,1366,712,1746,1173
P1830982.jpg,14,2670,1517,2706,1569
P1830983.jpg,14,2887,1299,2971,1409
P1830984.jpg,14,3674,1382,3807,1551
P1840413.jpg,14,3419,962,3476,1082
P1840413.jpg,14,3680,911,3740,1035
P1840414.jpg,14,1450,1757,1536,1847
P1840414.jpg,14,3374,1200,3431,1320
P1840604.jpg,14,2789,1593,2854,1679
P1840605.jpg,14,2354,1490,2435,1596
P1840606.jpg,14,2475,1534,2585,1681
P1840607.jpg,14,2700,1326,2838,1511
1062.jpg,15,681,172,784,287
1063.jpg,15,1098,564,1142,610
Screenshot (198).png,15,1079,355,1146,423
Screenshot (198).png,15,1275,356,1342,424
P1830924.jpg,15,1829,1535,1850,1556
P1830924.jpg,15,2009,1535,2030,1556
P1830925.jpg,15,2082,1635,2108,1661
P1830926.jpg,15,2156,1481,2194,1520
P1830926.jpg,15,2470,1474,2509,1513
P1830927.jpg,15,1971,1378,2067,1474
P1830927.jpg,15,2760,1366,2857,1463
P1830935.jpg,15,2505,1577,2535,1605
P1830936.jpg,15,2490,1605,2527,1641
P1830937.jpg,15,2487,1490,2538,1539
P1830938.jpg,15,2416,1079,2533,1196
P1840011.jpg,15,2529,1951,2564,1986
P1840012.jpg,15,618,1696,693,1779
P1840095.jpg,15,1452,1645,1488,1681
P1840096.jpg,15,1450,2272,1543,2364
P1840345.jpg,15,2233,752,2467,986
P1840429.jpg,15,1827,1402,1962,1533
P1840429.jpg,15,2924,1420,3059,1555
P1840482.jpg,15,2164,1846,2308,1994
P1840483.jpg,15,2249,1469,2498,1709
P1840488.jpg,15,1894,1888,1965,1960
P1840488.jpg,15,2481,1899,2558,1967
P1840489.jpg,15,1484,1736,1596,1853
P1840489.jpg,15,2408,1758,2515,1873
P1840490.jpg,15,1041,1624,1237,1821
P1840490.jpg,15,2646,1638,2837,1829
P1840491.jpg,15,2480,1474,2698,1699
P1860349.jpg,15,2313,791,2501,980
P1860349.jpg,15,3854,698,4040,884
P1860355.jpg,15,1767,1686,1900,1818
P1860355.jpg,15,2849,1694,2983,1828
P1860356.jpg,15,1839,1559,2012,1735
P1860356.jpg,15,3264,1557,3441,1733
P1860357.jpg,15,2940,2310,3002,2370
P1860358.jpg,15,2825,2220,2913,2310
P1860359.jpg,15,3077,1491,3208,1620
P1860398.jpg,15,2327,836,2576,1082
P1860403.jpg,15,1068,1475,1285,1691
P1860403.jpg,15,2804,1462,3017,1675
1072.jpg,16,1342,648,1377,683
1072.jpg,16,1665,664,1698,699
Screenshot (112).png,16,1356,562,1374,579
Screenshot (113).png,16,297,506,316,519
Screenshot (114).png,16,226,498,245,513
138.jpg,16,1164,309,1194,339
139.jpg,16,791,276,826,309
146.jpg,16,1033,289,1065,318
4.jpg,16,818,260,835,278
54.jpg,16,901,302,933,334
82.jpg,16,975,343,1007,374
92.jpg,16,584,429,608,453
DSC-0106.jpg,16,1513,1133,1549,1169
DSC-0107.jpg,16,1026,769,1092,835
DSC-0145.jpg,16,2022,838,2040,856
DSC-0146.jpg,16,1960,815,1989,844
DSC-0147.jpg,16,1794,689,1835,729
DSC-0148.jpg,16,1914,768,1979,831
P1830931.jpg,16,1896,1205,1949,1257
P1830939.jpg,16,3980,1099,4126,1245
P1830940.jpg,16,2556,1539,2578,1565
P1830942.jpg,16,2367,1123,2407,1160
P1830943.jpg,16,1862,1161,1902,1201
P1830944.jpg,16,2793,631,2931,770
P1830948.jpg,16,3141,711,3233,805
P1830949.jpg,16,1009,712,1250,951
P1830950.jpg,16,4189,147,4366,320
P1830964.jpg,16,2667,703,2803,839
P1830969.jpg,16,2667,1244,2722,1295
